element  Z mass    fs    fr  fall     Ns     Nr   Nall
     Nd 60  150 0.000 0.134 0.056  0.000  0.047  0.047
     Sm 62  147 0.035 0.178 0.131  0.003  0.031  0.034
     Sm 62  148 0.442 0.000 0.146  0.038  0.000  0.038
     Sm 62  149 0.058 0.178 0.138  0.005  0.031  0.036
     Sm 62  150 0.256 0.000 0.085  0.022  0.000  0.022
     Sm 62  152 0.209 0.305 0.273  0.018  0.053  0.071
     Sm 62  154 0.000 0.339 0.227  0.000  0.059  0.059
     Eu 63  151 0.000 0.467 0.457  0.000  0.042  0.042
     Eu 63  153 1.000 0.533 0.543  0.002  0.048  0.050
     Gd 64  152 0.016 0.000 0.003  0.001  0.000  0.001
     Gd 64  154 0.145 0.000 0.027  0.009  0.000  0.009
     Gd 64  155 0.048 0.163 0.142  0.003  0.045  0.048
     Gd 64  156 0.242 0.199 0.207  0.015  0.055  0.070
     Gd 64  157 0.113 0.167 0.157  0.007  0.046  0.053
     Gd 64  158 0.435 0.210 0.251  0.027  0.058  0.085
     Gd 64  160 0.000 0.261 0.213  0.000  0.072  0.072
     Tb 65  159 1.000 1.000 1.000  0.004  0.060  0.064
     Dy 66  160 0.184 0.000 0.022  0.009  0.000  0.009
     Dy 66  161 0.082 0.208 0.193  0.004  0.075  0.079
     Dy 66  162 0.327 0.281 0.286  0.016  0.101  0.117
     Dy 66  163 0.041 0.258 0.232  0.002  0.093  0.095
     Dy 66  164 0.367 0.253 0.267  0.018  0.091  0.109
     Ho 67  165 1.000 1.000 1.000  0.006  0.083  0.089
     Er 68  164 0.095 0.000 0.016  0.004  0.000  0.004
     Er 68  166 0.286 0.344 0.335  0.012  0.072  0.084
     Er 68  167 0.119 0.254 0.231  0.005  0.053  0.058
     Er 68  168 0.476 0.225 0.267  0.020  0.047  0.067
     Er 68  170 0.024 0.177 0.151  0.001  0.037  0.038
     Tm 69  169 1.000 1.000 1.000  0.006  0.031  0.037
     Yb 70  170 0.079 0.000 0.025  0.006  0.000  0.006
     Yb 70  171 0.053 0.178 0.138  0.004  0.029  0.033
     Yb 70  172 0.237 0.221 0.226  0.018  0.036  0.054
     Yb 70  173 0.105 0.190 0.163  0.008  0.031  0.039
     Yb 70  174 0.526 0.227 0.322  0.040  0.037  0.077
     Yb 70  176 0.000 0.184 0.126  0.000  0.030  0.030
     Lu 71  175 0.750 1.000 0.949  0.006  0.031  0.037
     Lu 71  176 0.250 0.000 0.051  0.002  0.000  0.002
     Hf 72  176 0.105 0.000 0.051  0.008  0.000  0.008
     Hf 72  177 0.066 0.296 0.185  0.005  0.024  0.029
     Hf 72  178 0.276 0.272 0.274  0.021  0.022  0.043
     Hf 72  179 0.092 0.185 0.140  0.007  0.015  0.022
     Hf 72  180 0.461 0.247 0.350  0.035  0.020  0.055
     Ta 73  181 1.000 1.000 1.000  0.009  0.013  0.022
      W 74  182 0.333 0.190 0.267  0.024  0.012  0.036
      W 74  183 0.181 0.111 0.148  0.013  0.007  0.020
      W 74  184 0.403 0.206 0.311  0.029  0.013  0.042
      W 74  186 0.083 0.492 0.274  0.006  0.031  0.037
     Re 75  185 0.800 0.298 0.346  0.004  0.014  0.018
     Re 75  187 0.200 0.702 0.654  0.001  0.033  0.034
     Os 76  186 0.200 0.000 0.017  0.012  0.000  0.012
     Os 76  187 0.100 0.000 0.008  0.006  0.000  0.006
     Os 76  188 0.267 0.121 0.134  0.016  0.079  0.095
     Os 76  189 0.067 0.171 0.162  0.004  0.111  0.115
     Os 76  190 0.350 0.258 0.266  0.021  0.168  0.189
     Os 76  192 0.017 0.450 0.414  0.001  0.293  0.294
